Fecha,Sueño Profundo (SWS),REM,Total,Total Minutos
06/02/25,2:06,2:29,4:35,275
07/02/25,1:52,2:14,4:06,246
08/02/25,1:41,1:38,3:19,199
09/02/25,0:35,0:23,0:58,58
10/02/25,1:53,2:09,4:02,242
11/02/25,1:20,1:15,2:35,155
12/02/25,2:11,2:35,4:46,286
13/02/25,1:49,3:01,4:50,290
14/02/25,0:56,0:56,1:52,112
15/02/25,2:11,2:35,4:46,286
16/02/25,1:49,3:01,4:50,290
17/02/25,1:50,1:17,3:07,187
18/02/25,1:27,1:53,3:20,200
19/02/25,1:29,1:50,3:19,199
20/02/25,1:37,1:48,3:25,205
21/02/25,1:13,1:28,2:41,161
22/02/25,2:02,3:09,5:11,311
23/02/25,2:21,2:55,5:16,316
24/02/25,1:45,1:31,3:16,196
25/02/25,1:27,1:53,3:20,200
26/02/25,2:11,2:41,4:52,292
27/02/25,1:59,2:05,4:04,244
28/02/25,1:58,1:15,3:13,193
01/03/25,2:05,2:42,4:47,287
02/03/25,1:40,2:05,3:45,225
03/03/25,1:55,2:44,4:39,279
04/03/25,1:57,1:19,3:16,196
05/03/25,1:39,2:46,4:25,265
06/03/25,1:39,2:46,4:25,265
07/03/25,1:51,1:14,3:05,185
,,,,
,,,,
,,,,